アルゼンチンの首都はどこでしょう。,ブエノスアイレス,リマ,ブラジリア,サンティアゴ
ペルーの首都はどこでしょう。,リマ,ラパス,ボゴタ,カラカス
アメリカで３番目に人口が多い都市はどこでしょう。,シカゴ,サンフランシスコ,ロサンゼルス,ダラス
オーストラリアの首都はどこでしょう。,キャンベラ,パース,シドニー,メルボルン
ドミニカ共和国と陸地で接している国はどこでしょう。,ハイチ,キューバ,バハマ,バルバトス
フランスの首都はどこでしょう。,パリ,カンヌ,マルセイユ,リヨン
次のうち国ではないのはどこでしょう。,プエルトリコ,ベリーズ,アンティグア・バーブーダ,トリニダード・トバゴ
スペインの首都はどこでしょう。,マドリード,パリ,ロンドン,ベルリン
ケツァールを国鳥及び通貨単位の名称にしている国はどこでしょう。,グアテマラ,ニカラグア,パナマ,コスタリカ
1969年にサッカーW杯予選を発端とする通称「サッカー戦争」で、エルサルバドルと戦った国はどこでしょう。,ホンジュラス,メキシコ,ベリーズ,コロンビア
ユーラシア大陸に国土をもたないのはどこでしょう。,アイスランド,ポーランド,フィンランド,デンマーク
次のうち、ベネルクス３国に含まれないのはどこでしょう。,フランス,オランダ,ベルギー,ルクセンブルク
世界一国土が狭い国はどこでしょう。,バチカン市国,モナコ,シンガポール,サンマリノ
バルト３国に含まれないのは次のうちどこでしょう。,エリトリア,エストニア,ラトビア,リトアニア
次のうち、アフリカ大陸に国土を持つのはどこでしょう。,マラウイ,セーシェル,サントメ・プリンシペ,モーリシャス
アメリカ合衆国を解放された黒人奴隷によって建国された国はどこでしょう。,リベリア,ギニア,ギニアビサウ,ガンビア
旧国名をザイールという国はどこでしょう。,コンゴ民主共和国,コンゴ共和国,アンゴラ,スワジランド
西サハラの所有権を主張している国はどこでしょう。,モロッコ,エジプト,アルジェリア,ナイジェリア
旧都市名をコンスタンチノープルという都市はどこでしょう。,イスタンブール,アンカラ,カイロ,エルサレム
旧都市名をレニングラードという都市はどこでしょう。,サンクトペテルブルク,ヴォルゴグラード,オデッサ,キエフ
ヴィクトリア湖に接していない国はどこでしょう。,エチオピア,ケニア,ウガンダ,タンザニア
ケッペンの気候区分には存在せず、後にトレワーサらによって加えられた気候区分はなにか。,高山気候,寒帯気候,乾燥気候,温帯気候
オーストラリア連邦タスマニア州の州都はどこか。,ホバート,ポートアーサー,ローンセストン,クラレンス
コソボ共和国の首都はどこか。,プリシュティナ,ティラナ,ポドゴリツァ,ノヴィ・サド
南スーダンの首都はどこか。,ジュバ,ハルツーム,ディリ,ニアメ
ウズベキスタンの首都はどこか。,タシュケント,ドゥシャンベ,アスタナ,アシガバード
トルクメニスタンの首都はどこか。,アシガバード,ドゥシャンベ,アスタナ,タシュケント
タジキスタンの首都はどこか。,ドゥシャンベ,アスタナ,アシガバード,タシュケント
ドミニカ国の首都はどこか。,ロゾー,サントドミンゴ,サンファン,セントジョンズ
日本の建築家・黒川紀章の都市計画案に基づき開発が続けられているカザフスタンの首都はどこか。,アスタナ,ビシュケク,サマルカンド,アルマトイ
2018年4月に国名をエスワティニ王国と改めた国はどこか。,スワジランド,レソト,ガンビア,マラウイ
2006年にヤンゴンから遷都したミャンマーの首都はどこか。,ネピドー,タウンジー,マンダレー,モーラミャイン
ブラジル連邦で人口が最も多い都市はどこか。,サンパウロ,リオ・デ・ジャネイロ,ブラジリア,クリチーバ
EU(欧州連合)の前身ではない組織は次のうちどれか。,EFTA(欧州自由貿易連合),EURATOM(欧州原子力共同体),ECSC(欧州石炭鉄鋼共同体),EEC(欧州経済共同体)
国境線だらけの町として有名なバールレに多数あるのは次のうちどの国境か。,ベルギーとオランダ,ベルギーとルクセンブルク,オランダとドイツ,ドイツとルクセンブルク
2011年まで緑一色の国旗を使用していた国はどこか。,リビア,ニジェール,マリ,ベナン
「インド洋のガラパゴス」と呼ばれる世界遺産ソコトラ島はどの国の領土か。,イエメン,イラン,ヨルダン,サウジアラビア
次のうち、最大の都市が首都である国はどこか。,ウズベキスタン,パキスタン,ベトナム,ニュージーランド
カナダのボンバルディアと並ぶ、小型航空機メーカー「エンブラエル」はどこの国の企業か。,ブラジル,アルゼンチン,メキシコ,ベネズエラ
次の瀑布のうち、国境の役割を果たしていないのはどれか。,エンジェルフォール,ヴィクトリアの滝,ナイアガラの滝,イグアスの滝
先進国首脳会議がG8である時代は参加し、G7である時代は不参加である国はどこか。,ロシア,カナダ,イタリア,ドイツ
赤道直下に領土を持つ11カ国のうち、島国はインドネシアとどこか。,サントメ・プリンシペ,カーボベルデ,セーシェル,モルディブ
ビーチ上を低空で飛行機が通過することで有名なプリンセス・ジュリアナ空港があるフランスとオランダの海外領土はどこか。,セント・マーチン島,キュラソー島,サン・バルテルミー島,アルバ島
2017年、世界の空港の年間乗客数のランキングで、20年間連続の首位を達成した空港はどこか。,ハーツフィールド・ジャクソン・アトランタ国際空港,ロンドン・ヒースロー空港,北京首都国際空港,ドバイ国際空港
世界最北の首都はどこか。,レイキャビク（アイスランド）,オスロ（ノルウェー）,ストックホルム（スウェーデン）,ヘルシンキ（フィンランド）
次のうち、国名と首都の都市名が同じではない国はどこか。,グアテマラ,パナマ,ジブチ,クウェート
次の世界的企業のうち、スウェーデン発祥の企業ではない企業はどれか。,ノキア(通信),H&M(ファッション),ボルボ(自動車),IKEA(家具)
大陸に領土がありながら島に首都がある国は３カ国あるが、次のうち当てはまらないのはどれか。,マレーシア,赤道ギニア,イギリス,デンマーク
ユトランド半島を横断し、北海とバルト海を結ぶ運河は次のうちどれか。,キール運河,ミッテルラント運河,コリントス運河,ミディ運河
日本語では溶食盆地という、カルスト地形の中で最大の面積を誇る地形は次のうちどれか。,ポリエ,ドリーネ,ウバーレ,モレーン
スヴァールバル諸島について誤っている記述は次のうちどれか。,米軍が駐留している,世界種子貯蔵庫がある,有人島はスピッツベルゲン島のみである,ノルウェー領である
次のうち、国旗の裏と表でデザインが違う国はどこか。,パラグアイ,ガイアナ,スリナム,マラウイ
パプアニューギニア、ウガンダ、メキシコ、ドミニカ国の国旗に共通することはなにか。,鳥が描かれている,文字が入っている,星(太陽)が描かれている,架空の生き物が描かれている
南米の国と公用語の組み合わせで誤っているものはどれか。,ボリビアーフランス語,スリナムーオランダ語,ガイアナ―英語,ブラジル―ポルトガル語
中米の国と首都の組み合わせで誤っているものはどれか。,ジャマイカ―フリータウン,ガイアナ―ジョージタウン,バルバトス―ブリッジタウン,セントヴィンセント・グレナディーン―キングスタウン
南米の国ベネズエラについて、誤っている記述は次のうちどれか。,サッカーが一番盛んなスポーツである,OPEC(石油輸出国機構)の加盟国である,スペインから独立した,リャノ(熱帯草原)がオリノコ川流域に広がる
ニューカレドニアについて、誤っている記述は次のうちどれか。,通貨はユーロである,メラネシアに位置する,フランス領である,ニッケルが産出される
ミクロネシア・メラネシア・ポリネシアについて誤っている記述は次のうちどれか。,ポリネシアの範囲が一番狭い,日本から一番近いのはミクロネシアである,ハワイはポリネシアに属する,メラネシアは赤道以南に位置する
2018年現在、地下鉄の総延長距離が一番長い都市はどこか。,上海,北京,香港,東京
次の首都のうち、2018年現在地下鉄が運行していないのはどこか。,イスラマバード(パキスタン),平壌(北朝鮮),サントドミンゴ(ドミニカ共和国),リマ(ペルー)
羊の飼育頭数が世界一多い国はどこか。,中華人民共和国,インド,オーストラリア,ニュージーランド
